ABHY	abhay
ABRAM	abram
ALDRYJ	aldridge
ALDRYJ	auldridge
ALDRYJ	eldridge
ALYVT	elliot
ALZN	olson
AMYH	amie
ANTVNYVS	antonius
ANVN	anon
ASKNL	scannell
ASLTN	sletten
ASPYR	spear
ASTFANS	stephanus
ASTRVK	strock
ASTYKLMN	stickelman
AYNG	auyeung
AYSAKS	isaacs
BALMA	balma
BARJYL	bargiel
BARLAS	barlas
BATALS	buttuls
BAZBY	buzbee
BLAK	block
BLDN	bolden
BRYAN	bryan
BVRVS	burrows
BVSART	bossart
BVYSVYKS	boisvieux
CARLZ	charles
CAVVYV	chauveau
CVKRY	chokri
DALY	dolly
DAYCYNC	duyckinck
DRYM	dream
DVGYVN	dudgeon
DYKNZ	dykins
FARTK	furtek
FNDR	fender
FRNSNYT	francyntie
FYNLY	finlay
GARTYN	gartin
GAYLVN	guillon
GLDBRGR	goldberger
GRABN	graben
GRANDASTRVM	grundstroem
GRMAK	germack
GRV	grove
GRYFYTZ	griffiths
GVRAV	gorav
GVRYNDR	gurinder
HALAT	halat
HAMFRY	humphrey
HANKLR	hunkler
HAPKRFT	hopcraft
HARVY	harvey
HBYBH	habiba
HMRA	hamra
HRMN	hermann
HVLNDNSYS	holtlandensis
HVYBRG	hoiberg
HYK	haik
HYZMNZ	heezemans
JVBYN	joubin
JVHANZ	johanes
JVRYSMA	jorritsma
KAKYVLA	cacciola
KALT	collett
KALYYVS	calius
KASTNR	costner
KATRYN	katrin
KAVDYL	caudill
KLAYN	kline
KLMBV	colombo
KRVMY	croume
KRVZ	crews
KRYG	craig
KRYSTYANSN	christiansen
KVB	kube
KVLYS	koolish
KVRP	korp
KY	kei
KYLR	keller
KYN	kean
LADR	lodder
LANTZ	luntz
LAPYDARY	lapidary
LFTVS	loftus
LMBVRN	lamborn
LVRA	laura
LVYN	levine
LY	lei
LYZA	lisa
MAGLYRV	magliaro
MARV	marv
MARZ	marz
MHMA	muhamma
MKRYS	macris
MRKR	mercer
NAN	nan
NATAN	nathan
NYD	nid
PALSYFR	pulsifer
PPLR	peppler
PRNT	parent
PYPGRAS	pipgras
PYRSN	pearsen
RVBY	rubie
RVTGRT	rutgert
SAGA	sug
SALGA	shulga
SAVAN	sawan
SL	sell
SNA	sana
STMF	stampf
SVDAN	soudan
SVKLA	shukla
SVNGKRN	songkran
SVRAB	sorab
SVYNGLR	swingler
SYBACR	seebacher
SYLBRMAN	silbermann
SYLVRBRG	silverberg
SYVALV	swallow
SYYVAYRDYNGLNT	siuuirdingelant
TAMSVN	thomsen
TATJ	taatje
TKYH	takiyah
TQYH	takiyah
VAJDYK	vajdic
VALTMN	waltman
VALTVN	walton
VNDYK	vandyck
VVDBRN	woodburn
VYGJYN	wiggin
VYTN	wheaton
YYTZ	yeats
ZNYKH	zanneke
