ABRAHAM	abraham
ABRYNY	ibrini
AKLY	ackley
ALMYNTAGAH	almintaqah
ALTMN	oltmann
AMVRVSV	amoroso
AMVS	amos
ARVYVLA	arviola
ASFAR	sphar
ASKVAYRL	squirrel
ASTALKH	stolcke
ASTVARD	steward
ASTVBRYJ	stowbridge
ATA	ota
AVBRTAS	obertas
AVRBN	orban
AYRBYD	irbid
AYTAMAR	itamar
BABVRAV	baburao
BALMA	balma
BARBVRAK	barborak
BARVNS	baroness
BATNAT	buttnut
BAYKRASTAF	bickerstaffe
'BDALRHMN	abdalrahman
BLASYVS	blasius
BLS	blas
BRJ	burj
BRNT	bernt
BVKSY	buxey
CAPRA	chopra
CARLTVN	charlton
CARLYN	charlyn
CNSLVR	chancellor
CRYSTAL	christall
DAKS	dox
DALBRGR	dulberger
DAYRKTVR	director
DRGVN	dragon
DV	dou
DYBL	deibele
DYSAY	desai
FAVL	fauvel
FLVVRZ	flowers
FRR	farer
FRYDL	friedl
FXRYYA	fakhriyya
FYNLY	finley
GATLYB	gottlieb
GLVJ	gloege
GRVYN	gruen
GVHD	gohde
HAJKYNZ	hodgkins
HARBYG	harbidge
HAYZ	hise
HLGA	helga
HNYJ	hainge
HVQYM	hoogheem
HVRYV	horio
HYRD	hird
JAHMANH	jahmane
JAN	jun
JVAB	joab
JVRA	joura
JVSYP	josip
KANAN	kannan
KANAVA	cannava
KAYAK	kayak
KLAF	clough
KRST	crest
KRYNZ	kerins
KRYSTYAN	christian
KVAYMAN	coeyman
KVC	couch
KVLYS	koolish
KVYT	kowitt
KYNSLA	kinsella
KYVK	quock
LAKVTVRH	lacouture
LAMBARDV	lombardo
LARTR	larter
LKY	leckie
LYLA	lila
MANYKS	mannix
MARGANT	marregante
MARGVLYS	margolis
MKLAVLYN	maclaughlin
MRYNLY	marinelli
MSR	messer
MVNKZ	monks
MVRYN	morin
MVRYSVN	morrison
MVS	muse
MYLYANZ	millians
MYNVARYNG	mainwaring
MYZYRA	mizera
NAKASVRA	nakasora
NASAV	nassau
NFL	knefel
NVJNT	nugent
NYVBRY	newberry
PGRAM	pegram
PSTMA	postma
PVYV	pouw
PYS	pace
RAP	krupp
RMNS	romans
RVYPK	roepcke
RYCAV	richau
RYDJ	ridge
SANDYP	sundeep
SAVCVK	sawchuk
SBRA	sabra
SDVR	sedore
SNGLVGLV	cengeloglu
SRKYH	sharqiyah
SVYLR	shuyler
SYMARD	simard
TARK	tariq
TRYSY	tracy
TVBVTYS	tubutis
TYNSL	tinsel
VAFYAH	wafiyyah
VANDRVYYR	vanderveer
VASVN	wasson
VYLMYNTJH	willemintje
YLYF	iliff
YRMYS	yermish
ZAYRA	zaira
ZHYRAH	zahirah
